]11;?[cmax_token_len: 64
max_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using frame_sampling type

max_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using frame_sampling type

Step 13500: grad_norm=0.0265, llm_grad_norm=0.0222, loss=0.0025, mem_enc_norm=0.0083, param_norm=1821.4564
Step 13600: grad_norm=0.0254, llm_grad_norm=0.0208, loss=0.0026, mem_enc_norm=0.0088, param_norm=1821.5332
Step 13700: grad_norm=0.0271, llm_grad_norm=0.0225, loss=0.0025, mem_enc_norm=0.0093, param_norm=1821.6116
Step 13800: grad_norm=0.0264, llm_grad_norm=0.0216, loss=0.0025, mem_enc_norm=0.0092, param_norm=1821.6914
Step 13900: grad_norm=0.0263, llm_grad_norm=0.0221, loss=0.0024, mem_enc_norm=0.0084, param_norm=1821.7717
Step 14000: grad_norm=0.0293, llm_grad_norm=0.0244, loss=0.0025, mem_enc_norm=0.0098, param_norm=1821.8556
Step 14100: grad_norm=0.0267, llm_grad_norm=0.0223, loss=0.0024, mem_enc_norm=0.0086, param_norm=1821.9392
Step 14200: grad_norm=0.0262, llm_grad_norm=0.0220, loss=0.0024, mem_enc_norm=0.0081, param_norm=1822.0145
Step 14300: grad_norm=0.0255, llm_grad_norm=0.0213, loss=0.0024, mem_enc_norm=0.0080, param_norm=1822.0961
Step 14400: grad_norm=0.0258, llm_grad_norm=0.0214, loss=0.0025, mem_enc_norm=0.0085, param_norm=1822.1736
Step 14500: grad_norm=0.0250, llm_grad_norm=0.0207, loss=0.0024, mem_enc_norm=0.0079, param_norm=1822.2511
Step 14600: grad_norm=0.0257, llm_grad_norm=0.0213, loss=0.0024, mem_enc_norm=0.0081, param_norm=1822.3309
Step 14700: grad_norm=0.0260, llm_grad_norm=0.0218, loss=0.0024, mem_enc_norm=0.0077, param_norm=1822.4073
Step 14800: grad_norm=0.0262, llm_grad_norm=0.0218, loss=0.0024, mem_enc_norm=0.0081, param_norm=1822.4827
Step 14900: grad_norm=0.0254, llm_grad_norm=0.0212, loss=0.0024, mem_enc_norm=0.0076, param_norm=1822.5597
Step 15000: grad_norm=0.0259, llm_grad_norm=0.0213, loss=0.0023, mem_enc_norm=0.0080, param_norm=1822.6364
Step 15100: grad_norm=0.0240, llm_grad_norm=0.0198, loss=0.0023, mem_enc_norm=0.0079, param_norm=1822.7139
Step 15200: grad_norm=0.0240, llm_grad_norm=0.0199, loss=0.0022, mem_enc_norm=0.0075, param_norm=1822.7874
Step 15300: grad_norm=0.0243, llm_grad_norm=0.0202, loss=0.0023, mem_enc_norm=0.0075, param_norm=1822.8623
Step 15400: grad_norm=0.0248, llm_grad_norm=0.0207, loss=0.0022, mem_enc_norm=0.0075, param_norm=1822.9409
Step 15500: grad_norm=0.0266, llm_grad_norm=0.0228, loss=0.0022, mem_enc_norm=0.0069, param_norm=1823.0201
Step 15600: grad_norm=0.0242, llm_grad_norm=0.0204, loss=0.0022, mem_enc_norm=0.0069, param_norm=1823.0968
Step 15700: grad_norm=0.0238, llm_grad_norm=0.0197, loss=0.0023, mem_enc_norm=0.0070, param_norm=1823.1716
Step 15800: grad_norm=0.0234, llm_grad_norm=0.0194, loss=0.0022, mem_enc_norm=0.0069, param_norm=1823.2495
Step 15900: grad_norm=0.0235, llm_grad_norm=0.0196, loss=0.0022, mem_enc_norm=0.0069, param_norm=1823.3237
Step 16000: grad_norm=0.0231, llm_grad_norm=0.0191, loss=0.0022, mem_enc_norm=0.0066, param_norm=1823.3982
Step 16100: grad_norm=0.0236, llm_grad_norm=0.0196, loss=0.0022, mem_enc_norm=0.0071, param_norm=1823.4734
Step 16200: grad_norm=0.0227, llm_grad_norm=0.0187, loss=0.0021, mem_enc_norm=0.0065, param_norm=1823.5448
Step 16300: grad_norm=0.0218, llm_grad_norm=0.0180, loss=0.0021, mem_enc_norm=0.0064, param_norm=1823.6202
Step 16400: grad_norm=0.0228, llm_grad_norm=0.0189, loss=0.0022, mem_enc_norm=0.0068, param_norm=1823.6943
Step 16500: grad_norm=0.0223, llm_grad_norm=0.0185, loss=0.0021, mem_enc_norm=0.0064, param_norm=1823.7684
Step 16600: grad_norm=0.0228, llm_grad_norm=0.0191, loss=0.0021, mem_enc_norm=0.0066, param_norm=1823.8434
Step 16700: grad_norm=0.0212, llm_grad_norm=0.0175, loss=0.0021, mem_enc_norm=0.0063, param_norm=1823.9177
Step 16800: grad_norm=0.0226, llm_grad_norm=0.0187, loss=0.0020, mem_enc_norm=0.0062, param_norm=1823.9894
Step 16900: grad_norm=0.0237, llm_grad_norm=0.0199, loss=0.0021, mem_enc_norm=0.0065, param_norm=1824.0609
Step 17000: grad_norm=0.0227, llm_grad_norm=0.0187, loss=0.0020, mem_enc_norm=0.0065, param_norm=1824.1365
Step 17100: grad_norm=0.0226, llm_grad_norm=0.0187, loss=0.0020, mem_enc_norm=0.0064, param_norm=1824.2118
Step 17200: grad_norm=0.0235, llm_grad_norm=0.0195, loss=0.0020, mem_enc_norm=0.0062, param_norm=1824.2859
Step 17300: grad_norm=0.0222, llm_grad_norm=0.0186, loss=0.0019, mem_enc_norm=0.0061, param_norm=1824.3584
Step 17400: grad_norm=0.0213, llm_grad_norm=0.0178, loss=0.0020, mem_enc_norm=0.0060, param_norm=1824.4298
Step 17500: grad_norm=0.0234, llm_grad_norm=0.0196, loss=0.0020, mem_enc_norm=0.0061, param_norm=1824.5059
Step 17600: grad_norm=0.0216, llm_grad_norm=0.0181, loss=0.0020, mem_enc_norm=0.0056, param_norm=1824.5811
Step 17700: grad_norm=0.0239, llm_grad_norm=0.0202, loss=0.0020, mem_enc_norm=0.0059, param_norm=1824.6556
Step 17800: grad_norm=0.0219, llm_grad_norm=0.0180, loss=0.0019, mem_enc_norm=0.0066, param_norm=1824.7279
Step 17900: grad_norm=0.0221, llm_grad_norm=0.0184, loss=0.0020, mem_enc_norm=0.0059, param_norm=1824.8009
Step 18000: grad_norm=0.0231, llm_grad_norm=0.0195, loss=0.0019, mem_enc_norm=0.0059, param_norm=1824.8767
