]11;?[cmax_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using rl_selector type

max_token_len: 64
Step 630: mean_reward=0.0030, mean_fm_selector=0.0557, mean_fm_uniform=0.0606, mean_entropy=5.3458, policy_loss=-0.0089, value_loss=0.0009, approx_kl=-0.0001, grad_norm=0.0086
Step 640: mean_reward=-0.0016, mean_fm_selector=0.0350, mean_fm_uniform=0.0349, mean_entropy=5.4977, policy_loss=0.0049, value_loss=0.0007, approx_kl=0.0099, grad_norm=0.0081
Step 650: mean_reward=-0.0051, mean_fm_selector=0.0538, mean_fm_uniform=0.0504, mean_entropy=5.4007, policy_loss=0.0031, value_loss=0.0012, approx_kl=0.0315, grad_norm=0.0095
Step 660: mean_reward=-0.0033, mean_fm_selector=0.0554, mean_fm_uniform=0.0540, mean_entropy=5.3338, policy_loss=0.0053, value_loss=0.0007, approx_kl=0.0109, grad_norm=0.0054
Step 670: mean_reward=0.0023, mean_fm_selector=0.0543, mean_fm_uniform=0.0589, mean_entropy=5.1649, policy_loss=0.0001, value_loss=0.0003, approx_kl=-0.0004, grad_norm=0.0034
Step 680: mean_reward=-0.0029, mean_fm_selector=0.0606, mean_fm_uniform=0.0595, mean_entropy=5.2837, policy_loss=0.0035, value_loss=0.0009, approx_kl=-0.0000, grad_norm=0.0060
Step 690: mean_reward=-0.0008, mean_fm_selector=0.0517, mean_fm_uniform=0.0527, mean_entropy=5.3342, policy_loss=-0.0006, value_loss=0.0017, approx_kl=-0.0003, grad_norm=0.0061
Step 700: mean_reward=-0.0011, mean_fm_selector=0.0659, mean_fm_uniform=0.0664, mean_entropy=5.4041, policy_loss=-0.0051, value_loss=0.0020, approx_kl=-0.0013, grad_norm=0.0126
Step 710: mean_reward=0.0024, mean_fm_selector=0.0439, mean_fm_uniform=0.0488, mean_entropy=5.0874, policy_loss=-0.0054, value_loss=0.0006, approx_kl=0.0377, grad_norm=0.0064
Step 720: mean_reward=0.0022, mean_fm_selector=0.0646, mean_fm_uniform=0.0688, mean_entropy=5.2118, policy_loss=-0.0013, value_loss=0.0016, approx_kl=0.0096, grad_norm=0.0105
Step 730: mean_reward=0.0036, mean_fm_selector=0.0505, mean_fm_uniform=0.0557, mean_entropy=5.4623, policy_loss=-0.0057, value_loss=0.0011, approx_kl=-0.0000, grad_norm=0.0086
Step 740: mean_reward=-0.0040, mean_fm_selector=0.0331, mean_fm_uniform=0.0311, mean_entropy=5.3363, policy_loss=0.0031, value_loss=0.0004, approx_kl=0.0000, grad_norm=0.0050
Step 750: mean_reward=0.0005, mean_fm_selector=0.0532, mean_fm_uniform=0.0558, mean_entropy=5.2341, policy_loss=-0.0020, value_loss=0.0005, approx_kl=0.0198, grad_norm=0.0050
Step 760: mean_reward=-0.0027, mean_fm_selector=0.0559, mean_fm_uniform=0.0552, mean_entropy=5.2812, policy_loss=-0.0014, value_loss=0.0025, approx_kl=-0.0000, grad_norm=0.0072
Step 770: mean_reward=0.0036, mean_fm_selector=0.0399, mean_fm_uniform=0.0453, mean_entropy=5.4054, policy_loss=-0.0082, value_loss=0.0008, approx_kl=0.0044, grad_norm=0.0074
Step 780: mean_reward=-0.0020, mean_fm_selector=0.0595, mean_fm_uniform=0.0596, mean_entropy=5.1861, policy_loss=0.0011, value_loss=0.0006, approx_kl=0.0041, grad_norm=0.0070
Step 790: mean_reward=-0.0066, mean_fm_selector=0.0416, mean_fm_uniform=0.0372, mean_entropy=5.2045, policy_loss=0.0047, value_loss=0.0013, approx_kl=0.0059, grad_norm=0.0074
Step 800: mean_reward=0.0019, mean_fm_selector=0.0529, mean_fm_uniform=0.0566, mean_entropy=5.4146, policy_loss=-0.0006, value_loss=0.0006, approx_kl=0.0000, grad_norm=0.0039
Step 810: mean_reward=0.0001, mean_fm_selector=0.0462, mean_fm_uniform=0.0482, mean_entropy=5.2937, policy_loss=0.0037, value_loss=0.0009, approx_kl=0.0001, grad_norm=0.0046
Step 820: mean_reward=0.0001, mean_fm_selector=0.0606, mean_fm_uniform=0.0620, mean_entropy=5.5022, policy_loss=-0.0023, value_loss=0.0007, approx_kl=-0.0000, grad_norm=0.0055
Step 830: mean_reward=-0.0040, mean_fm_selector=0.0471, mean_fm_uniform=0.0450, mean_entropy=5.3039, policy_loss=0.0022, value_loss=0.0007, approx_kl=0.0094, grad_norm=0.0054
Step 840: mean_reward=0.0005, mean_fm_selector=0.0448, mean_fm_uniform=0.0476, mean_entropy=5.2266, policy_loss=-0.0057, value_loss=0.0014, approx_kl=-0.0019, grad_norm=0.0078
Step 850: mean_reward=-0.0056, mean_fm_selector=0.0467, mean_fm_uniform=0.0436, mean_entropy=5.0187, policy_loss=0.0011, value_loss=0.0003, approx_kl=0.0073, grad_norm=0.0046
